"gene_name","sample_name","gene_family","aro_accession","drug_class","high_level_drug_class","resistance_mechanism","model_type","num_contigs","cutoff","contig_coverage_breadth","contig_percent_id","contig_species","num_reads","read_gene_id","read_coverage_breadth","read_coverage_depth","read_species","total_reads","rpm","dpm","collection_date","Season","Mobility_Score","Human_Associated","Risk_Rank_Score","Season_Mapped","Persistence_Score","RPI","ESKAPE"
"mefJ","Influent_WWTP_02_10_24_MH3_S338","major facilitator superfamily (MFS) antibiotic efflux pump","ARO:3007049","macrolide antibiotic","macrolide antibiotic","antibiotic efflux","protein homolog",1,"Nudged",20.3518,100,"Streptococcus uberis (chromosome)",5,"ARO:3007049|ID:5748|Name:mefJ|NCBI:CP065927.1",33.08,0.6,"Streptococcus uberis (chromosome): 1; ",7781242,1.66,0.2,"02_10_2024","Winter",0,TRUE,3,"Wet",0.119666503274187,3.11966650327419,"No"
"mel","Influent_WWTP_02_10_24_MH3_S338","msr-type ABC-F protein","ARO:3000616","macrolide antibiotic; streptogramin antibiotic","macrolide antibiotic; streptogramin antibiotic","antibiotic target protection","protein homolog",0,"",NA,NA,"",6,"ARO:3000616|ID:1231|Name:mel|NCBI:AF227521.1",33.09,0.5,"Streptococcus pneumoniae (chromosome): 1; Streptococcus suis (chromosome): 1; ",7781242,2,0.17,"02_10_2024","Winter",0,TRUE,3,"Wet",0.525419698509987,3.52541969850999,"No"
"smeB","Influent_WWTP_02_10_24_MH3_S338","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003052","aminoglycoside antibiotic; cephalosporin; cephamycin; penam","beta-lactam antibiotic; aminoglycoside antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",12,"ARO:3003052|ID:1960|Name:smeB|NCBI:AF173226.1",21.24,0.1,"Aeromonas veronii (chromosome): 1; ",7781242,3.99,0.03,"02_10_2024","Winter",0,TRUE,3,"Wet",0.905585763726586,3.90558576372659,"No"
"smeE","Influent_WWTP_02_10_24_MH3_S338","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003056","macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","phenicol antibiotic; macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",31,"ARO:3003056|ID:876|Name:smeE|NCBI:AJ252200.1",61.58,0.34,"Aeromonas hydrophila (chromosome): 5; Aeromonas veronii (chromosome): 3; Aeromonas caviae (chromosome): 1; Aeromonas (chromosome): 2; Klebsiella (chromosome): 1; ",7781242,10.32,0.11,"02_10_2024","Winter",0,TRUE,3,"Wet",0.665334410493711,3.66533441049371,"No"
"AxyY","Influent_WWTP_02_10_24_MH4_S337","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3004144","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin","aminoglycoside antibiotic; macrolide antibiotic; fluoroquinolone antibiotic; beta-lactam antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",42,"ARO:3004144|ID:2799|Name:AxyY|NCBI:AFRQ01000061.1",39.2,0.28,"Aeromonas hydrophila (chromosome): 1; ",6755272,16.22,0.11,"02_10_2024","Winter",0,TRUE,3,"Wet",0.723608301506158,3.72360830150616,"No"
"MexB","Influent_WWTP_02_10_24_MH4_S337","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000378","macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem","diaminopyrimidine antibiotic; peptide antibiotic; fluoroquinolone antibiotic; phenicol antibiotic; tetracycline antibiotic; macrolide antibiotic; sulfonamide antibiotic; aminocoumarin antibiotic; beta-lactam antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",58,"ARO:3000378|ID:1925|Name:MexB|NCBI:L11616.1",58.93,1.04,"Pseudomonas fluorescens (chromosome): 3; ",6755272,22.4,0.4,"02_10_2024","Winter",0,TRUE,3,"Wet",0.8097787517041,3.8097787517041,"No"
"MexF","Influent_WWTP_02_10_24_MH4_S337","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000804","fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","phenicol antibiotic; fluoroquinolone antibiotic; diaminopyrimidine antibiotic","antibiotic efflux","protein homolog",2,"Nudged",11.6651,95.985,"",45,"ARO:3000804|ID:1300|Name:MexF|NCBI:AE004091.2",75.42,0.95,"Pseudomonas fluorescens (chromosome): 3; ",6755272,17.38,0.37,"02_10_2024","Winter",0,TRUE,3,"Wet",0.685249484986982,3.68524948498698,"No"
"qacL","Influent_WWTP_02_10_24_MH4_S337","small multidrug resistance (SMR) antibiotic efflux pump","ARO:3005098","disinfecting agents and antiseptics","disinfecting agents and antiseptics","antibiotic efflux","protein homolog",1,"Strict",91.8919,98.04,"Unknown taxonomy (chromosome or plasmid)",16,"ARO:3005098|ID:3830|Name:qacL|NCBI:DQ149925.1",100,4.61,"Enterobacter kobei (plasmid): 3; ",6755272,6.18,1.78,"02_10_2024","Winter",1,TRUE,1,"Wet",0.795613160538822,2.79561316053882,"Yes"
"smeE","Influent_WWTP_02_10_24_MH4_S337","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003056","macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","phenicol antibiotic; tetracycline antibiotic; macrolide antibiotic; fluoroquinolone antibiotic","antibiotic efflux","protein homolog",1,"Nudged",5.8598,95.08,"Shewanella putrefaciens (chromosome)",36,"ARO:3003056|ID:876|Name:smeE|NCBI:AJ252200.1",35.96,0.41,"Aeromonas hydrophila (chromosome): 2; ",6755272,13.9,0.16,"02_10_2024","Winter",0,TRUE,3,"Wet",0.665334410493711,3.66533441049371,"No"
"AxyY","Influent_WWTP_02_14_24_MH2_S349","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3004144","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin","aminoglycoside antibiotic; macrolide antibiotic; fluoroquinolone antibiotic; beta-lactam antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",29,"ARO:3004144|ID:2799|Name:AxyY|NCBI:AFRQ01000061.1",30.94,0.24,"Aeromonas caviae (chromosome): 1; ",14397606,8.62,0.07,"02_14_2024","Winter",0,TRUE,3,"Wet",0.723608301506158,3.72360830150616,"No"
"Klebsiella pneumoniae KpnH","Influent_WWTP_02_14_24_MH2_S349","major facilitator superfamily (MFS) antibiotic efflux pump","ARO:3004597","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem","macrolide antibiotic; fluoroquinolone antibiotic; beta-lactam antibiotic; peptide antibiotic; aminoglycoside antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",4,"ARO:3004597|ID:3299|Name:Klebsiella_pneumoniae_KpnH|NCBI:ASTU01000063.1",12.41,0.08,"Klebsiella oxytoca (chromosome): 3; ",14397606,1.19,0.02,"02_14_2024","Winter",0,TRUE,3,"Wet",0.417522245236988,3.41752224523699,"No"
"MexB","Influent_WWTP_02_14_24_MH2_S349","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000378","macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem","fluoroquinolone antibiotic; beta-lactam antibiotic; aminocoumarin antibiotic; macrolide antibiotic; phenicol antibiotic; sulfonamide antibiotic; diaminopyrimidine antibiotic; peptide antibiotic; tetracycline antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",29,"ARO:3000378|ID:1925|Name:MexB|NCBI:L11616.1",44.25,0.24,"Aeromonas hydrophila (chromosome): 5; Aeromonas veronii (chromosome): 4; ",14397606,8.62,0.07,"02_14_2024","Winter",0,TRUE,3,"Wet",0.8097787517041,3.8097787517041,"No"
"MexF","Influent_WWTP_02_14_24_MH2_S349","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000804","fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","phenicol antibiotic; diaminopyrimidine antibiotic; fluoroquinolone antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",50,"ARO:3000804|ID:1300|Name:MexF|NCBI:AE004091.2",54.09,0.81,"Pseudomonas putida (chromosome): 4; Pseudomonas fluorescens (chromosome): 2; Pseudomonas aeruginosa (chromosome): 1; ",14397606,14.87,0.24,"02_14_2024","Winter",0,TRUE,3,"Wet",0.685249484986982,3.68524948498698,"Yes"
"mefJ","Influent_WWTP_02_14_24_MH2_S349","major facilitator superfamily (MFS) antibiotic efflux pump","ARO:3007049","macrolide antibiotic","macrolide antibiotic","antibiotic efflux","protein homolog",2,"Strict;Nudged",99.7487,99.865,"Unknown taxonomy (chromosome)",100,"ARO:3007049|ID:5748|Name:mefJ|NCBI:CP065927.1",100,11.16,"Streptococcus uberis (chromosome): 3; ",14397606,29.73,3.32,"02_14_2024","Winter",0,TRUE,3,"Wet",0.119666503274187,3.11966650327419,"No"
"mel","Influent_WWTP_02_14_24_MH2_S349","msr-type ABC-F protein","ARO:3000616","macrolide antibiotic; streptogramin antibiotic","macrolide antibiotic; streptogramin antibiotic","antibiotic target protection","protein homolog",0,"",NA,NA,"",73,"ARO:3000616|ID:1231|Name:mel|NCBI:AF227521.1",99.75,7.29,"Streptococcus pneumoniae (chromosome): 3; Streptococcus suis (chromosome): 1; Streptococcus (chromosome): 3; ",14397606,21.71,2.17,"02_14_2024","Winter",0,TRUE,3,"Wet",0.525419698509987,3.52541969850999,"No"
"oqxB","Influent_WWTP_02_14_24_MH2_S349","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003923","fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic","fluoroquinolone antibiotic; nitrofuran antibiotic; diaminopyrimidine antibiotic; tetracycline antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",2,"ARO:3003923|ID:2400|Name:oqxB|NCBI:EU370913.1",9.58,0.1,"Enterobacter cloacae (chromosome): 2; ",14397606,0.59,0.03,"02_14_2024","Winter",0,TRUE,3,"Wet",0.987951807231033,3.98795180723103,"Yes"
"smeE","Influent_WWTP_02_14_24_MH2_S349","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003056","macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","phenicol antibiotic; macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",47,"ARO:3003056|ID:876|Name:smeE|NCBI:AJ252200.1",45.02,0.29,"Aeromonas hydrophila (chromosome): 7; Aeromonas caviae (chromosome): 6; Aeromonas veronii (chromosome): 3; Aeromonas (chromosome): 5; ",14397606,13.98,0.09,"02_14_2024","Winter",0,TRUE,3,"Wet",0.665334410493711,3.66533441049371,"No"
"tet(W)","Influent_WWTP_02_14_24_MH2_S349","tetracycline-resistant ribosomal protection protein","ARO:3000194","tetracycline antibiotic","tetracycline antibiotic","antibiotic target protection","protein homolog",2,"Nudged",29.375,99.485,"Unknown taxonomy (chromosome or plasmid)",29,"ARO:3000194|ID:389|Name:tet(W)|NCBI:AJ222769.3",76.46,1.98,"Faecalibacterium prausnitzii (chromosome): 1; ",14397606,8.62,0.59,"02_14_2024","Winter",0,TRUE,3,"Wet",0.152966404695788,3.15296640469579,"No"
"AxyY","Influent_WWTP_02_14_24_MH3_S343","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3004144","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin","aminoglycoside antibiotic; fluoroquinolone antibiotic; beta-lactam antibiotic; macrolide antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",25,"ARO:3004144|ID:2799|Name:AxyY|NCBI:AFRQ01000061.1",38.91,0.05,"Aeromonas hydrophila (chromosome): 3; ",11785116,7.62,0.02,"02_14_2024","Winter",0,TRUE,3,"Wet",0.723608301506158,3.72360830150616,"No"
"Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","Influent_WWTP_02_14_24_MH3_S343","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","ARO:3004480","rifamycin antibiotic","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","protein homolog",0,"",NA,NA,"",107,"ARO:3004480|ID:2914|Name:Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin|NCBI:NC_008618.1",66.55,1.38,"Bifidobacterium longum (chromosome): 1; Bifidobacterium dentium (chromosome): 1; Klebsiella pneumoniae (chromosome): 1; ",11785116,32.63,0.42,"02_14_2024","Winter",0,TRUE,3,"Wet",0.69721473495663,3.69721473495663,"Yes"
"MexB","Influent_WWTP_02_14_24_MH3_S343","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000378","macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem","tetracycline antibiotic; sulfonamide antibiotic; beta-lactam antibiotic; diaminopyrimidine antibiotic; fluoroquinolone antibiotic; aminocoumarin antibiotic; phenicol antibiotic; peptide antibiotic; macrolide antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",47,"ARO:3000378|ID:1925|Name:MexB|NCBI:L11616.1",63.32,0.57,"Aeromonas hydrophila (chromosome): 1; Achromobacter xylosoxidans (chromosome): 1; ",11785116,14.33,0.17,"02_14_2024","Winter",0,TRUE,3,"Wet",0.8097787517041,3.8097787517041,"No"
"mel","Influent_WWTP_02_14_24_MH3_S343","msr-type ABC-F protein","ARO:3000616","macrolide antibiotic; streptogramin antibiotic","streptogramin antibiotic; macrolide antibiotic","antibiotic target protection","protein homolog",0,"",NA,NA,"",60,"ARO:3000616|ID:1231|Name:mel|NCBI:AF227521.1",100,6.78,"Phocaeicola vulgatus (chromosome): 4; Streptococcus pneumoniae (chromosome): 1; Klebsiella pneumoniae (chromosome): 1; Streptococcus suis (chromosome): 1; ",11785116,18.3,2.07,"02_14_2024","Winter",0,TRUE,3,"Wet",0.525419698509987,3.52541969850999,"Yes"
"smeB","Influent_WWTP_02_14_24_MH3_S343","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003052","aminoglycoside antibiotic; cephalosporin; cephamycin; penam","aminoglycoside antibiotic; beta-lactam antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",17,"ARO:3003052|ID:1960|Name:smeB|NCBI:AF173226.1",30.32,0.05,"Aeromonas caviae (chromosome): 1; Aeromonas veronii (chromosome): 1; ",11785116,5.18,0.02,"02_14_2024","Winter",0,TRUE,3,"Wet",0.905585763726586,3.90558576372659,"No"
"smeE","Influent_WWTP_02_14_24_MH3_S343","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003056","macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","tetracycline antibiotic; phenicol antibiotic; fluoroquinolone antibiotic; macrolide antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",36,"ARO:3003056|ID:876|Name:smeE|NCBI:AJ252200.1",49.15,0.39,"Aeromonas hydrophila (chromosome): 4; Aeromonas veronii (chromosome): 3; Aeromonas caviae (chromosome): 3; Laribacter hongkongensis (chromosome): 1; Aeromonas (chromosome): 3; ",11785116,10.98,0.12,"02_14_2024","Winter",0,TRUE,3,"Wet",0.665334410493711,3.66533441049371,"No"
"AxyY","Influent_WWTP_02_14_24_MH4_S342","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3004144","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; beta-lactam antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",38,"ARO:3004144|ID:2799|Name:AxyY|NCBI:AFRQ01000061.1",38.62,0.25,"Pseudomonas (chromosome): 3; ",11082292,13.29,0.09,"02_14_2024","Winter",0,TRUE,3,"Wet",0.723608301506158,3.72360830150616,"No"
"Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","Influent_WWTP_02_14_24_MH4_S342","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","ARO:3004480","rifamycin antibiotic","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","protein homolog",0,"",NA,NA,"",130,"ARO:3004480|ID:2914|Name:Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin|NCBI:NC_008618.1",68.72,1.44,"Bifidobacterium dentium (chromosome): 2; ",11082292,45.48,0.5,"02_14_2024","Winter",0,TRUE,3,"Wet",0.69721473495663,3.69721473495663,"No"
"MexB","Influent_WWTP_02_14_24_MH4_S342","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000378","macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem","phenicol antibiotic; aminocoumarin antibiotic; tetracycline antibiotic; macrolide antibiotic; peptide antibiotic; fluoroquinolone antibiotic; sulfonamide antibiotic; diaminopyrimidine antibiotic; beta-lactam antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",49,"ARO:3000378|ID:1925|Name:MexB|NCBI:L11616.1",60.78,0.87,"Klebsiella michiganensis (chromosome): 1; Aeromonas veronii (chromosome): 1; Aeromonas hydrophila (chromosome): 1; Klebsiella (chromosome): 1; ",11082292,17.14,0.3,"02_14_2024","Winter",0,TRUE,3,"Wet",0.8097787517041,3.8097787517041,"No"
"cmlA9","Influent_WWTP_02_14_24_MH4_S342","major facilitator superfamily (MFS) antibiotic efflux pump","ARO:3005043","phenicol antibiotic","phenicol antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",7,"ARO:3005043|ID:3786|Name:cmlA9|NCBI:AY963803.6",42.47,0.87,"Aeromonas caviae (chromosome): 1; ",11082292,2.45,0.3,"02_14_2024","Winter",0,TRUE,3,"Wet",0.941684665239377,3.94168466523938,"No"
"mefJ","Influent_WWTP_02_14_24_MH4_S342","major facilitator superfamily (MFS) antibiotic efflux pump","ARO:3007049","macrolide antibiotic","macrolide antibiotic","antibiotic efflux","protein homolog",2,"Nudged",83.1658,99.765,"Unknown taxonomy (chromosome)",31,"ARO:3007049|ID:5748|Name:mefJ|NCBI:CP065927.1",96.82,3.04,"Streptococcus uberis (chromosome): 3; ",11082292,10.84,1.06,"02_14_2024","Winter",0,TRUE,3,"Wet",0.119666503274187,3.11966650327419,"No"
"mel","Influent_WWTP_02_14_24_MH4_S342","msr-type ABC-F protein","ARO:3000616","macrolide antibiotic; streptogramin antibiotic","macrolide antibiotic; streptogramin antibiotic","antibiotic target protection","protein homolog",1,"Nudged",15.7635,95.31,"Klebsiella pneumoniae (chromosome)",43,"ARO:3000616|ID:1231|Name:mel|NCBI:AF227521.1",100,4.32,"Klebsiella pneumoniae (chromosome): 4; Streptococcus pneumoniae (chromosome): 1; Streptococcus suis (chromosome): 1; ",11082292,15.04,1.51,"02_14_2024","Winter",0,TRUE,3,"Wet",0.525419698509987,3.52541969850999,"Yes"
"oqxB","Influent_WWTP_02_14_24_MH4_S342","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003923","fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic","fluoroquinolone antibiotic; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",9,"ARO:3003923|ID:2400|Name:oqxB|NCBI:EU370913.1",27.94,0.24,"Klebsiella (chromosome): 4; ",11082292,3.15,0.08,"02_14_2024","Winter",0,TRUE,3,"Wet",0.987951807231033,3.98795180723103,"No"
"qacL","Influent_WWTP_02_14_24_MH4_S342","small multidrug resistance (SMR) antibiotic efflux pump","ARO:3005098","disinfecting agents and antiseptics","disinfecting agents and antiseptics","antibiotic efflux","protein homolog",1,"Strict",99.0991,98.18,"Pseudomonas aeruginosa (chromosome or plasmid)",10,"ARO:3005098|ID:3830|Name:qacL|NCBI:DQ149925.1",100,3.74,"Enterobacter kobei (plasmid): 1; Pseudomonas aeruginosa (plasmid): 1; ",11082292,3.5,1.31,"02_14_2024","Winter",1,TRUE,1,"Wet",0.795613160538822,2.79561316053882,"Yes"
"smeB","Influent_WWTP_02_14_24_MH4_S342","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003052","aminoglycoside antibiotic; cephalosporin; cephamycin; penam","aminoglycoside antibiotic; beta-lactam antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",11,"ARO:3003052|ID:1960|Name:smeB|NCBI:AF173226.1",26.83,0.1,"Aeromonas hydrophila (chromosome): 1; Pseudomonas fluorescens (chromosome): 1; ",11082292,3.85,0.03,"02_14_2024","Winter",0,TRUE,3,"Wet",0.905585763726586,3.90558576372659,"No"
"smeE","Influent_WWTP_02_14_24_MH4_S342","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003056","macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","macrolide antibiotic; phenicol antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",36,"ARO:3003056|ID:876|Name:smeE|NCBI:AJ252200.1",44.92,0.63,"Aeromonas hydrophila (chromosome): 5; Aeromonas veronii (chromosome): 2; ",11082292,12.59,0.22,"02_14_2024","Winter",0,TRUE,3,"Wet",0.665334410493711,3.66533441049371,"No"
"tet(44)","Influent_WWTP_02_14_24_MH4_S342","tetracycline-resistant ribosomal protection protein","ARO:3000556","tetracycline antibiotic","tetracycline antibiotic","antibiotic target protection","protein homolog",0,"",NA,NA,"",2,"ARO:3000556|ID:1171|Name:tet(44)|NCBI:FN594949.1",15.7,0.16,"Erysipelatoclostridium ramosum (chromosome): 1; ",11082292,0.7,0.06,"02_14_2024","Winter",0,TRUE,3,"Wet",0.729166666807726,3.72916666680773,"No"
"AxyY","Influent_WWTP_07_31_23_MH2_S477","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3004144","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin","fluoroquinolone antibiotic; beta-lactam antibiotic; aminoglycoside antibiotic; macrolide antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",22,"ARO:3004144|ID:2799|Name:AxyY|NCBI:AFRQ01000061.1",19.85,0.34,"Pseudomonas chlororaphis (chromosome): 1; Pseudomonas fluorescens (chromosome): 1; ",20642738,5.74,0.09,"07_31_2023","Summer",0,TRUE,3,"Dry",0.723608301506158,3.72360830150616,"No"
"Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","Influent_WWTP_07_31_23_MH2_S477","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","ARO:3004480","rifamycin antibiotic","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","protein homolog",0,"",NA,NA,"",28,"ARO:3004480|ID:2914|Name:Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin|NCBI:NC_008618.1",43.41,0.21,"Bifidobacterium longum (chromosome): 1; ",20642738,7.3,0.05,"07_31_2023","Summer",0,TRUE,3,"Dry",0.69721473495663,3.69721473495663,"No"
"MexD","Influent_WWTP_07_31_23_MH2_S477","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000801","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","fluoroquinolone antibiotic; macrolide antibiotic; aminoglycoside antibiotic; tetracycline antibiotic; diaminopyrimidine antibiotic; aminocoumarin antibiotic; phenicol antibiotic; beta-lactam antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",22,"ARO:3000801|ID:1523|Name:MexD|NCBI:U57969.1",30.01,0.05,"Pseudomonas fluorescens (chromosome): 1; Pseudomonas (chromosome): 2; ",20642738,5.74,0.01,"07_31_2023","Summer",0,TRUE,3,"Dry",0.797776233509536,3.79777623350954,"No"
"MexF","Influent_WWTP_07_31_23_MH2_S477","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000804","fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","diaminopyrimidine antibiotic; fluoroquinolone antibiotic; phenicol antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",33,"ARO:3000804|ID:1300|Name:MexF|NCBI:AE004091.2",42.3,0.8,"Pseudomonas fluorescens (chromosome): 4; ",20642738,8.61,0.21,"07_31_2023","Summer",0,TRUE,3,"Dry",0.685249484986982,3.68524948498698,"No"
"smeE","Influent_WWTP_07_31_23_MH2_S477","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003056","macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic; macrolide antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",25,"ARO:3003056|ID:876|Name:smeE|NCBI:AJ252200.1",33.75,0.53,"Stenotrophomonas maltophilia (chromosome): 3; ",20642738,6.52,0.14,"07_31_2023","Summer",0,TRUE,3,"Dry",0.665334410493711,3.66533441049371,"No"
"MexB","Influent_WWTP_07_31_23_MH3_S355","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000378","macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem","fluoroquinolone antibiotic; diaminopyrimidine antibiotic; beta-lactam antibiotic; tetracycline antibiotic; aminocoumarin antibiotic; sulfonamide antibiotic; phenicol antibiotic; macrolide antibiotic; peptide antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",26,"ARO:3000378|ID:1925|Name:MexB|NCBI:L11616.1",39.1,0.38,"Pseudomonas fluorescens (chromosome): 1; ",12271180,9.59,0.14,"07_31_2023","Summer",0,TRUE,3,"Dry",0.8097787517041,3.8097787517041,"No"
"MexF","Influent_WWTP_07_31_23_MH3_S355","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000804","fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","antibiotic efflux","protein homolog",1,"Nudged",0.5644,100,"",29,"ARO:3000804|ID:1300|Name:MexF|NCBI:AE004091.2",58.2,0.57,"Pseudomonas fluorescens (chromosome): 6; ",12271180,10.7,0.21,"07_31_2023","Summer",0,TRUE,3,"Dry",0.685249484986982,3.68524948498698,"No"
